Viana do Castelo; 41.69176464830859; -8.837342672018432
Braga; 41.545616009067736; -8.426544588389985
Viseu; 40.65518424265567; -7.913034512029738
Vila Real; 41.30018979714653; -7.744974733107544
Bragança; 41.805632079045566; -6.758492397885592
Guarda; 40.5378694275615; -7.266307005126826
Porto; 41.156668077578296; -8.633019410120614
Coimbra; 40.20295117346438; -8.411485350849919
Évora; 38.571009088176744; -7.9142525391775385
Lisboa; 38.72093191367713; -9.141214253651464
Setúbal; 38.52520112996708; -8.889525470060148
Santarém; 39.2356911662872; -8.687002065758271
Portalegre; 39.29714869270152; -7.43334346478745
Leiria; 39.74813842092515; -8.808722919076098
Faro; 37.01714339877875; -7.9303356741666455
Beja; 38.01701878223444; -7.860143593090843
Castelo Branco; 39.81878454648081; -7.498830240065927
Aveiro; 40.640144141268536; -8.653567888787443
